iter	Passed	Remaining
0	0	69
1	1	61
2	1	59
3	2	54
4	2	53
5	3	51
6	3	50
7	4	49
8	4	48
9	5	47
10	5	46
11	6	45
12	6	45
13	7	44
14	7	44
15	8	43
16	8	43
17	9	42
18	9	41
19	10	41
20	10	40
21	11	39
22	11	39
23	12	39
24	12	38
25	13	38
26	14	37
27	14	37
28	15	37
29	15	36
30	16	36
31	16	35
32	17	35
33	17	34
34	18	34
35	19	33
36	19	33
37	20	32
38	20	32
39	21	31
40	21	31
41	22	30
42	22	29
43	23	29
44	23	29
45	24	28
46	24	28
47	25	27
48	26	27
49	26	26
50	27	26
51	27	25
52	28	25
53	29	24
54	29	24
55	30	23
56	30	23
57	31	22
58	31	22
59	32	21
60	32	21
61	33	20
62	34	19
63	34	19
64	35	18
65	35	18
66	36	17
67	36	17
68	37	16
69	38	16
70	38	15
71	39	15
72	39	14
73	40	14
74	40	13
75	41	13
76	42	12
77	42	12
78	43	11
79	43	10
80	44	10
81	45	9
82	45	9
83	46	8
84	46	8
85	47	7
86	47	7
87	48	6
88	49	6
89	49	5
90	50	4
91	50	4
92	51	3
93	51	3
94	52	2
95	53	2
96	53	1
97	54	1
98	54	0
99	55	0
