iter	RMSE
0	14.68021801
1	14.26997435
2	13.89087414
3	13.51471796
4	13.16575311
5	12.84015422
6	12.53584119
7	12.23086129
8	11.95603193
9	11.6626813
10	11.38718904
11	11.14950093
12	10.9327999
13	10.69002446
14	10.44855057
15	10.20649202
16	9.988586019
17	9.784899661
18	9.569385886
19	9.387522079
20	9.220339894
21	9.051109869
22	8.879507016
23	8.722221501
24	8.573743008
25	8.423152482
26	8.285597616
27	8.164578275
28	8.041505284
29	7.920302293
30	7.821390901
31	7.717538845
32	7.610340421
33	7.515552842
34	7.413509329
35	7.320473149
36	7.228724183
37	7.149810898
38	7.067001645
39	6.99548173
40	6.92205293
41	6.852442716
42	6.777680909
43	6.715086358
44	6.649468837
45	6.584150495
46	6.520071114
47	6.468506143
48	6.409242116
49	6.360826127
50	6.308925019
51	6.258252744
52	6.213135505
53	6.167074069
54	6.12558601
55	6.087221321
56	6.050069884
57	6.021758784
58	5.988139751
59	5.961920126
60	5.93327531
61	5.902163223
62	5.871598326
63	5.840726377
64	5.81257511
65	5.78837954
66	5.762575175
67	5.736200073
68	5.712443212
69	5.691200395
70	5.667945714
71	5.646609988
72	5.627515256
73	5.60581012
74	5.589437252
75	5.572502948
76	5.557975904
77	5.541250941
78	5.527964041
79	5.510827783
80	5.496775598
81	5.483384204
82	5.467617503
83	5.453881565
84	5.443213151
85	5.4330306
86	5.421165072
87	5.412517881
88	5.401422971
89	5.389500313
90	5.38034565
91	5.372141176
92	5.363268435
93	5.355107028
94	5.352148374
95	5.340652222
96	5.329717504
97	5.320661452
98	5.312115857
99	5.300555498
100	5.294199185
101	5.286908868
102	5.278614179
103	5.270188949
104	5.262870896
105	5.255113024
106	5.243906686
107	5.237537526
108	5.226999693
109	5.21950383
110	5.213895586
111	5.207075247
112	5.201719879
113	5.194035554
114	5.189558484
115	5.183704947
116	5.182500682
117	5.177234961
118	5.168921513
119	5.161063389
120	5.15572981
121	5.14896294
122	5.142924581
123	5.139665407
124	5.134045833
125	5.129030684
126	5.123281912
127	5.119401587
128	5.1112436
129	5.106398228
130	5.100501476
131	5.095977702
132	5.088731464
133	5.081665028
134	5.07383328
135	5.07012463
136	5.064028403
137	5.06153559
138	5.05787404
139	5.053793036
140	5.049049253
141	5.043969096
142	5.039029553
143	5.034334691
144	5.030957195
145	5.026940162
146	5.023823354
147	5.020531535
148	5.013121661
149	5.007724611
150	5.004755241
151	5.000420721
152	4.994285427
153	4.991105066
154	4.990048703
155	4.987017898
156	4.981678996
157	4.979693311
158	4.976598396
159	4.972043695
160	4.969297439
161	4.966126567
162	4.962734156
163	4.959373618
164	4.954572577
165	4.950961478
166	4.947403539
167	4.943410116
168	4.94002759
169	4.936844876
170	4.930376475
171	4.925336815
172	4.920136989
173	4.917051335
174	4.913470829
175	4.910917872
176	4.909217379
177	4.905669455
178	4.90006995
179	4.893322446
180	4.890176386
181	4.888251804
182	4.887621639
183	4.88458834
184	4.881875682
185	4.877388971
186	4.873531743
187	4.870192978
188	4.864937044
189	4.863079974
190	4.856538803
191	4.853383964
192	4.849766385
193	4.84772149
194	4.844884935
195	4.844637337
196	4.841754374
197	4.837282079
198	4.832666212
199	4.828610292
200	4.824894764
201	4.819035059
202	4.816034186
203	4.814065479
204	4.811480439
205	4.8081423
206	4.804738388
207	4.801046008
208	4.797716544
209	4.793987024
210	4.792206773
211	4.788159854
212	4.782101259
213	4.781022407
214	4.778897077
215	4.774790638
216	4.771454349
217	4.768528317
218	4.765358865
219	4.761281915
220	4.757518869
221	4.7535953
222	4.750108496
223	4.747072501
224	4.742772651
225	4.738844839
226	4.734601072
227	4.732114814
228	4.729537907
229	4.727528337
230	4.724922356
231	4.720015584
232	4.71424393
233	4.709988736
234	4.707997005
235	4.704080187
236	4.700611774
237	4.697443232
238	4.692527607
239	4.689491813
240	4.683482473
241	4.680318912
242	4.67764078
243	4.674067935
244	4.6725788
245	4.668749427
246	4.663734591
247	4.660102708
248	4.656424502
249	4.652108964
250	4.647330928
251	4.644170771
252	4.640151063
253	4.638113522
254	4.635883865
255	4.631991334
256	4.630557735
257	4.627600699
258	4.625723847
259	4.623074017
260	4.617734207
261	4.613446622
262	4.610632847
263	4.608643197
264	4.604946556
265	4.603616336
266	4.597869585
267	4.594854654
268	4.592212384
269	4.590188938
270	4.583675748
271	4.580244701
272	4.57804405
273	4.575366111
274	4.571377199
275	4.56956329
276	4.565994181
277	4.561893745
278	4.558390517
279	4.556562664
280	4.554853383
281	4.549371019
282	4.545833935
283	4.543447418
284	4.537867474
285	4.532994148
286	4.529944899
287	4.527077609
288	4.525788714
289	4.523280292
290	4.520173415
291	4.514004898
292	4.510684332
293	4.509320677
294	4.507067962
295	4.501225846
296	4.4985614
297	4.495789633
298	4.492091441
299	4.490950589
300	4.487446311
301	4.485929774
302	4.483537473
303	4.481760173
304	4.478197486
