iter	Passed	Remaining
0	1	1128
1	2	1037
2	3	998
3	3	953
4	4	925
5	5	903
6	6	889
7	7	869
8	7	866
9	8	857
10	9	856
11	10	842
12	11	842
13	11	833
14	12	827
15	13	818
16	14	814
17	14	808
18	15	799
19	16	801
20	17	799
21	17	795
22	18	791
23	19	787
24	20	784
25	20	781
26	21	782
27	22	781
28	23	782
29	24	785
30	25	785
31	25	786
32	26	783
33	27	786
34	28	787
35	29	787
36	30	790
37	31	793
38	32	794
39	33	795
40	33	794
41	34	794
42	35	795
43	36	795
44	37	796
45	38	798
46	39	798
47	40	800
48	41	801
49	42	803
50	43	802
51	44	802
52	44	801
53	45	801
54	46	803
55	47	804
56	48	803
57	49	802
58	50	803
59	51	803
60	52	801
61	53	802
62	53	802
63	54	802
64	55	802
65	56	800
66	57	797
67	58	796
68	58	796
69	59	795
70	60	794
71	61	792
72	62	792
73	63	792
74	64	793
75	65	790
76	65	790
77	66	788
78	67	784
79	68	782
80	68	780
81	69	778
82	70	775
83	70	772
84	71	769
85	72	766
86	72	763
87	73	761
88	74	758
89	74	755
90	75	752
91	76	750
92	76	749
93	77	749
94	78	745
95	79	744
96	79	743
97	80	741
98	81	739
99	81	736
100	82	734
101	83	732
102	83	730
103	84	729
104	85	728
105	86	727
106	86	724
107	87	722
108	88	720
109	88	718
110	89	716
111	90	714
112	90	712
113	91	711
114	92	709
115	93	708
116	93	704
117	93	702
118	94	701
119	95	699
120	96	697
121	96	695
122	97	693
123	97	692
124	98	691
125	99	689
126	100	688
127	100	687
128	101	686
129	102	684
130	102	683
131	103	681
132	104	680
133	105	678
134	105	677
135	106	675
136	107	674
137	108	675
138	108	674
139	109	673
140	110	672
141	110	670
142	111	668
143	112	667
144	113	666
145	113	665
146	114	664
147	115	663
148	115	662
149	116	661
150	117	659
151	118	658
152	118	656
153	119	654
154	119	651
155	120	649
156	120	648
157	121	646
158	122	647
159	123	646
160	123	645
161	124	644
162	125	643
163	126	642
164	126	641
165	127	640
166	128	639
167	128	638
168	129	637
169	130	636
170	131	636
171	132	635
172	132	634
173	133	633
174	134	631
175	134	630
176	135	629
177	136	628
178	136	627
179	137	626
180	138	626
181	139	625
182	139	622
183	140	621
184	140	620
185	141	619
186	142	618
187	142	617
188	143	615
189	144	614
190	144	613
191	145	612
192	146	612
193	147	611
194	147	609
195	148	607
196	148	606
197	149	604
198	149	603
199	150	602
200	151	601
201	152	601
202	152	600
203	153	599
204	154	598
205	155	597
206	155	596
207	156	595
208	157	594
209	157	593
210	158	592
211	158	590
212	159	589
213	160	589
214	161	589
215	162	588
216	162	587
217	163	586
218	164	584
219	164	583
220	165	582
221	166	581
222	166	580
223	167	579
224	168	579
225	168	577
226	169	577
227	170	576
228	170	574
229	171	573
230	171	571
231	172	570
232	172	569
233	173	568
234	174	566
235	174	565
236	175	564
237	176	563
238	176	562
239	177	561
240	178	560
241	178	559
242	179	558
243	179	556
244	180	555
245	180	553
246	181	552
247	181	551
248	182	550
249	183	549
250	183	548
251	184	547
252	184	546
253	185	544
254	186	543
255	186	542
256	187	541
257	187	539
258	188	538
259	188	537
260	189	536
261	189	534
262	190	535
